"Pos","Id_pl","Name","Surname","Country","Pts","Date"
1,2,"Andre","Agassi","USA",2743,"1996-08-04"
2,1,"Pete","Sampras","USA",2103,"1996-08-04"
3,36,"Carlos","Moya","ESP",2029,"1996-08-04"
4,23,"Stefan","Edberg","SWE",1950,"1996-08-04"
5,3,"Boris","Becker","GER",1921,"1996-08-04"
6,34,"Marcelo","Rios","CHI",1430,"1996-08-04"
7,7,"Yevgeny","Kafelnikow","RUS",1381,"1996-08-04"
8,8,"Mark","Philippoussis","AUS",1339,"1996-08-04"
9,4,"Wayne","Ferreira","RSA",1251,"1996-08-04"
10,5,"Thomas","Muster","AUT",1202,"1996-08-04"
11,6,"Michael","Chang","USA",980,"1996-08-04"
12,28,"Guy","Forget","FRA",808,"1996-08-04"
13,44,"Petr","Korda","CZE",784,"1996-08-04"
14,43,"Albert","Costa","ESP",779,"1996-08-04"
15,9,"Thomas","Enqvist","SWE",774,"1996-08-04"
16,12,"Richard","Krajicek","NED",752,"1996-08-04"
17,22,"Greg","Rusedski","GBR",750,"1996-08-04"
18,18,"Andrei","Medvedev","UKR",742,"1996-08-04"
19,29,"Cedric","Pioline","FRA",695,"1996-08-04"
20,14,"Marc","Rosset","SUI",633,"1996-08-04"
21,19,"Todd","Martin","USA",602,"1996-08-04"
22,10,"Goran","Ivanisevic","CRO",507,"1996-08-04"
23,11,"Jim","Courier","USA",500,"1996-08-04"
24,27,"Byron","Black","ZIM",411,"1996-08-04"
25,39,"Hicham","Arazi","MAR",394,"1996-08-04"
26,17,"Arnaud","Boetsch","FRA",375,"1996-08-04"
27,21,"Bartlomiej","Dabrowski","POL",367,"1996-08-04"
28,16,"Michael","Stich","GER",357,"1996-08-04"
29,33,"Javier","Frana","ARG",265,"1996-08-04"
30,37,"Marat","Safin","RUS",212,"1996-08-04"
31,49,"Tim","Henman","GBR",173,"1996-08-04"
32,26,"Grant","Connell","CAN",166,"1996-08-04"
33,13,"Sergi","Bruguera","ESP",164,"1996-08-04"
34,53,"Jan","Siemerink","NED",132,"1996-08-04"
35,15,"Andrea","Gaudenzi","ITA",119,"1996-08-04"
36,25,"Mark","Knowles","BAH",92,"1996-08-04"
37,31,"Kenneth","Carlsen","DEN",80,"1996-08-04"
38,30,"Alejandro","Hernandez","MEX",74,"1996-08-04"
39,32,"Olivier","Rochus","BEL",66,"1996-08-04"
40,35,"Nicolas","Periera","URG",58,"1996-08-04"
41,55,"Richey","Reneberg","USA",54,"1996-08-04"
42,47,"Mariano","Zabaleta","ARG",37,"1996-08-04"
43,40,"Leander","Paes","IND",32,"1996-08-04"
43,52,"Paul","Haarhuis","NED",32,"1996-08-04"
45,48,"Sebastien","Grosjean","FRA",30,"1996-08-04"
45,54,"Christian","Ruud","NOR",30,"1996-08-04"
47,20,"Wojciech","Kowalski","POL",28,"1996-08-04"
48,45,"Wolfgang","Schranz","AUT",26,"1996-08-04"
49,41,"Shuzo","Matsuoka","JPN",24,"1996-08-04"
50,46,"Oliver","Gross","GER",9,"1996-08-04"
51,50,"Vladimir","Voltchkov","BLR",7,"1996-08-04"
0,0,"A","B","c",0,"1971-01-01"
1,2,"Andre","Agassi","USA",2856,"1996-08-11"
2,23,"Stefan","Edberg","SWE",2437,"1996-08-11"
3,1,"Pete","Sampras","USA",2135,"1996-08-11"
4,36,"Carlos","Moya","ESP",2033,"1996-08-11"
5,3,"Boris","Becker","GER",1961,"1996-08-11"
6,34,"Marcelo","Rios","CHI",1462,"1996-08-11"
7,7,"Yevgeny","Kafelnikow","RUS",1385,"1996-08-11"
8,8,"Mark","Philippoussis","AUS",1339,"1996-08-11"
9,4,"Wayne","Ferreira","RSA",1291,"1996-08-11"
10,5,"Thomas","Muster","AUT",1202,"1996-08-11"
11,6,"Michael","Chang","USA",980,"1996-08-11"
12,19,"Todd","Martin","USA",893,"1996-08-11"
13,9,"Thomas","Enqvist","SWE",887,"1996-08-11"
14,28,"Guy","Forget","FRA",808,"1996-08-11"
15,44,"Petr","Korda","CZE",784,"1996-08-11"
16,43,"Albert","Costa","ESP",779,"1996-08-11"
17,12,"Richard","Krajicek","NED",752,"1996-08-11"
18,22,"Greg","Rusedski","GBR",750,"1996-08-11"
19,18,"Andrei","Medvedev","UKR",742,"1996-08-11"
20,29,"Cedric","Pioline","FRA",695,"1996-08-11"
21,14,"Marc","Rosset","SUI",663,"1996-08-11"
22,10,"Goran","Ivanisevic","CRO",507,"1996-08-11"
23,11,"Jim","Courier","USA",500,"1996-08-11"
24,39,"Hicham","Arazi","MAR",420,"1996-08-11"
25,27,"Byron","Black","ZIM",411,"1996-08-11"
26,37,"Marat","Safin","RUS",394,"1996-08-11"
27,17,"Arnaud","Boetsch","FRA",375,"1996-08-11"
28,21,"Bartlomiej","Dabrowski","POL",369,"1996-08-11"
29,16,"Michael","Stich","GER",357,"1996-08-11"
30,33,"Javier","Frana","ARG",265,"1996-08-11"
31,49,"Tim","Henman","GBR",259,"1996-08-11"
32,26,"Grant","Connell","CAN",166,"1996-08-11"
33,13,"Sergi","Bruguera","ESP",164,"1996-08-11"
34,53,"Jan","Siemerink","NED",132,"1996-08-11"
35,15,"Andrea","Gaudenzi","ITA",121,"1996-08-11"
36,25,"Mark","Knowles","BAH",92,"1996-08-11"
37,31,"Kenneth","Carlsen","DEN",80,"1996-08-11"
38,30,"Alejandro","Hernandez","MEX",74,"1996-08-11"
39,32,"Olivier","Rochus","BEL",66,"1996-08-11"
40,35,"Nicolas","Periera","URG",58,"1996-08-11"
41,55,"Richey","Reneberg","USA",54,"1996-08-11"
42,47,"Mariano","Zabaleta","ARG",37,"1996-08-11"
43,40,"Leander","Paes","IND",32,"1996-08-11"
43,52,"Paul","Haarhuis","NED",32,"1996-08-11"
45,48,"Sebastien","Grosjean","FRA",30,"1996-08-11"
45,54,"Christian","Ruud","NOR",30,"1996-08-11"
47,20,"Wojciech","Kowalski","POL",28,"1996-08-11"
48,45,"Wolfgang","Schranz","AUT",26,"1996-08-11"
49,41,"Shuzo","Matsuoka","JPN",24,"1996-08-11"
50,46,"Oliver","Gross","GER",9,"1996-08-11"
51,50,"Vladimir","Voltchkov","BLR",7,"1996-08-11"
0,0,"A","B","c",0,"1971-01-01"
1,2,"Andre","Agassi","USA",2856,"1996-08-18"
2,23,"Stefan","Edberg","SWE",2437,"1996-08-18"
3,1,"Pete","Sampras","USA",2135,"1996-08-18"
4,36,"Carlos","Moya","ESP",2033,"1996-08-18"
5,3,"Boris","Becker","GER",1961,"1996-08-18"
6,34,"Marcelo","Rios","CHI",1462,"1996-08-18"
7,7,"Yevgeny","Kafelnikow","RUS",1440,"1996-08-18"
8,8,"Mark","Philippoussis","AUS",1394,"1996-08-18"
9,4,"Wayne","Ferreira","RSA",1346,"1996-08-18"
10,6,"Michael","Chang","USA",1283,"1996-08-18"
11,5,"Thomas","Muster","AUT",1202,"1996-08-18"
12,19,"Todd","Martin","USA",893,"1996-08-18"
13,9,"Thomas","Enqvist","SWE",887,"1996-08-18"
14,29,"Cedric","Pioline","FRA",871,"1996-08-18"
15,28,"Guy","Forget","FRA",808,"1996-08-18"
16,12,"Richard","Krajicek","NED",807,"1996-08-18"
17,44,"Petr","Korda","CZE",784,"1996-08-18"
18,43,"Albert","Costa","ESP",779,"1996-08-18"
19,22,"Greg","Rusedski","GBR",753,"1996-08-18"
20,18,"Andrei","Medvedev","UKR",742,"1996-08-18"
21,14,"Marc","Rosset","SUI",685,"1996-08-18"
22,11,"Jim","Courier","USA",676,"1996-08-18"
23,10,"Goran","Ivanisevic","CRO",535,"1996-08-18"
24,26,"Grant","Connell","CAN",491,"1996-08-18"
25,39,"Hicham","Arazi","MAR",420,"1996-08-18"
26,27,"Byron","Black","ZIM",414,"1996-08-18"
27,17,"Arnaud","Boetsch","FRA",403,"1996-08-18"
28,37,"Marat","Safin","RUS",397,"1996-08-18"
29,16,"Michael","Stich","GER",379,"1996-08-18"
30,21,"Bartlomiej","Dabrowski","POL",369,"1996-08-18"
31,13,"Sergi","Bruguera","ESP",346,"1996-08-18"
32,33,"Javier","Frana","ARG",265,"1996-08-18"
33,49,"Tim","Henman","GBR",259,"1996-08-18"
34,53,"Jan","Siemerink","NED",132,"1996-08-18"
35,15,"Andrea","Gaudenzi","ITA",123,"1996-08-18"
36,25,"Mark","Knowles","BAH",95,"1996-08-18"
37,46,"Oliver","Gross","GER",87,"1996-08-18"
38,31,"Kenneth","Carlsen","DEN",83,"1996-08-18"
39,55,"Richey","Reneberg","USA",76,"1996-08-18"
40,30,"Alejandro","Hernandez","MEX",74,"1996-08-18"
41,32,"Olivier","Rochus","BEL",66,"1996-08-18"
42,20,"Wojciech","Kowalski","POL",58,"1996-08-18"
42,35,"Nicolas","Periera","URG",58,"1996-08-18"
44,45,"Wolfgang","Schranz","AUT",52,"1996-08-18"
45,47,"Mariano","Zabaleta","ARG",37,"1996-08-18"
46,40,"Leander","Paes","IND",32,"1996-08-18"
46,52,"Paul","Haarhuis","NED",32,"1996-08-18"
48,48,"Sebastien","Grosjean","FRA",30,"1996-08-18"
48,54,"Christian","Ruud","NOR",30,"1996-08-18"
50,41,"Shuzo","Matsuoka","JPN",24,"1996-08-18"
51,50,"Vladimir","Voltchkov","BLR",7,"1996-08-18"
0,0,"A","B","c",0,"1971-01-01"
1,2,"Andre","Agassi","USA",2856,"1996-08-25"
2,23,"Stefan","Edberg","SWE",2437,"1996-08-25"
3,1,"Pete","Sampras","USA",2135,"1996-08-25"
4,36,"Carlos","Moya","ESP",2033,"1996-08-25"
5,3,"Boris","Becker","GER",1961,"1996-08-25"
6,34,"Marcelo","Rios","CHI",1502,"1996-08-25"
7,7,"Yevgeny","Kafelnikow","RUS",1480,"1996-08-25"
8,8,"Mark","Philippoussis","AUS",1398,"1996-08-25"
9,6,"Michael","Chang","USA",1380,"1996-08-25"
10,4,"Wayne","Ferreira","RSA",1346,"1996-08-25"
11,12,"Richard","Krajicek","NED",1294,"1996-08-25"
12,5,"Thomas","Muster","AUT",1206,"1996-08-25"
13,44,"Petr","Korda","CZE",1011,"1996-08-25"
14,28,"Guy","Forget","FRA",921,"1996-08-25"
15,19,"Todd","Martin","USA",897,"1996-08-25"
16,9,"Thomas","Enqvist","SWE",887,"1996-08-25"
17,29,"Cedric","Pioline","FRA",875,"1996-08-25"
18,18,"Andrei","Medvedev","UKR",808,"1996-08-25"
19,43,"Albert","Costa","ESP",779,"1996-08-25"
20,14,"Marc","Rosset","SUI",771,"1996-08-25"
21,22,"Greg","Rusedski","GBR",757,"1996-08-25"
22,11,"Jim","Courier","USA",702,"1996-08-25"
23,37,"Marat","Safin","RUS",579,"1996-08-25"
24,10,"Goran","Ivanisevic","CRO",535,"1996-08-25"
25,26,"Grant","Connell","CAN",531,"1996-08-25"
26,39,"Hicham","Arazi","MAR",420,"1996-08-25"
27,27,"Byron","Black","ZIM",414,"1996-08-25"
28,17,"Arnaud","Boetsch","FRA",403,"1996-08-25"
29,16,"Michael","Stich","GER",381,"1996-08-25"
30,21,"Bartlomiej","Dabrowski","POL",369,"1996-08-25"
31,13,"Sergi","Bruguera","ESP",346,"1996-08-25"
32,33,"Javier","Frana","ARG",265,"1996-08-25"
33,49,"Tim","Henman","GBR",259,"1996-08-25"
34,53,"Jan","Siemerink","NED",132,"1996-08-25"
35,15,"Andrea","Gaudenzi","ITA",123,"1996-08-25"
36,25,"Mark","Knowles","BAH",95,"1996-08-25"
37,46,"Oliver","Gross","GER",87,"1996-08-25"
38,31,"Kenneth","Carlsen","DEN",83,"1996-08-25"
39,55,"Richey","Reneberg","USA",76,"1996-08-25"
40,30,"Alejandro","Hernandez","MEX",74,"1996-08-25"
41,32,"Olivier","Rochus","BEL",66,"1996-08-25"
42,20,"Wojciech","Kowalski","POL",58,"1996-08-25"
42,35,"Nicolas","Periera","URG",58,"1996-08-25"
44,45,"Wolfgang","Schranz","AUT",52,"1996-08-25"
45,47,"Mariano","Zabaleta","ARG",37,"1996-08-25"
46,40,"Leander","Paes","IND",32,"1996-08-25"
46,52,"Paul","Haarhuis","NED",32,"1996-08-25"
48,48,"Sebastien","Grosjean","FRA",30,"1996-08-25"
48,54,"Christian","Ruud","NOR",30,"1996-08-25"
50,41,"Shuzo","Matsuoka","JPN",24,"1996-08-25"
51,50,"Vladimir","Voltchkov","BLR",7,"1996-08-25"
0,0,"A","B","c",0,"1971-01-01"
1,23,"Stefan","Edberg","SWE",2964,"1996-09-08"
2,2,"Andre","Agassi","USA",2963,"1996-09-08"
3,3,"Boris","Becker","GER",2208,"1996-09-08"
4,1,"Pete","Sampras","USA",2140,"1996-09-08"
5,36,"Carlos","Moya","ESP",2075,"1996-09-08"
6,34,"Marcelo","Rios","CHI",1599,"1996-09-08"
7,7,"Yevgeny","Kafelnikow","RUS",1577,"1996-09-08"
8,8,"Mark","Philippoussis","AUS",1435,"1996-09-08"
9,12,"Richard","Krajicek","NED",1391,"1996-09-08"
10,6,"Michael","Chang","USA",1385,"1996-09-08"
11,4,"Wayne","Ferreira","RSA",1348,"1996-09-08"
12,5,"Thomas","Muster","AUT",1208,"1996-09-08"
13,29,"Cedric","Pioline","FRA",1102,"1996-09-08"
14,44,"Petr","Korda","CZE",1013,"1996-09-08"
15,56,"Nicolas","Kiefer"," GER",1007,"1996-09-08"
16,28,"Guy","Forget","FRA",963,"1996-09-08"
17,19,"Todd","Martin","USA",899,"1996-09-08"
18,9,"Thomas","Enqvist","SWE",887,"1996-09-08"
19,43,"Albert","Costa","ESP",816,"1996-09-08"
20,18,"Andrei","Medvedev","UKR",810,"1996-09-08"
21,14,"Marc","Rosset","SUI",803,"1996-09-08"
22,22,"Greg","Rusedski","GBR",762,"1996-09-08"
23,11,"Jim","Courier","USA",702,"1996-09-08"
24,37,"Marat","Safin","RUS",579,"1996-09-08"
25,10,"Goran","Ivanisevic","CRO",540,"1996-09-08"
26,26,"Grant","Connell","CAN",531,"1996-09-08"
27,27,"Byron","Black","ZIM",456,"1996-09-08"
28,17,"Arnaud","Boetsch","FRA",445,"1996-09-08"
29,16,"Michael","Stich","GER",423,"1996-09-08"
30,39,"Hicham","Arazi","MAR",420,"1996-09-08"
31,21,"Bartlomiej","Dabrowski","POL",369,"1996-09-08"
32,13,"Sergi","Bruguera","ESP",346,"1996-09-08"
33,33,"Javier","Frana","ARG",265,"1996-09-08"
34,49,"Tim","Henman","GBR",259,"1996-09-08"
35,53,"Jan","Siemerink","NED",132,"1996-09-08"
36,15,"Andrea","Gaudenzi","ITA",123,"1996-09-08"
37,25,"Mark","Knowles","BAH",95,"1996-09-08"
38,46,"Oliver","Gross","GER",87,"1996-09-08"
39,31,"Kenneth","Carlsen","DEN",83,"1996-09-08"
40,55,"Richey","Reneberg","USA",81,"1996-09-08"
41,30,"Alejandro","Hernandez","MEX",74,"1996-09-08"
42,32,"Olivier","Rochus","BEL",66,"1996-09-08"
43,20,"Wojciech","Kowalski","POL",58,"1996-09-08"
43,35,"Nicolas","Periera","URG",58,"1996-09-08"
45,45,"Wolfgang","Schranz","AUT",52,"1996-09-08"
46,47,"Mariano","Zabaleta","ARG",37,"1996-09-08"
47,40,"Leander","Paes","IND",32,"1996-09-08"
47,52,"Paul","Haarhuis","NED",32,"1996-09-08"
49,48,"Sebastien","Grosjean","FRA",30,"1996-09-08"
49,54,"Christian","Ruud","NOR",30,"1996-09-08"
51,41,"Shuzo","Matsuoka","JPN",24,"1996-09-08"
52,50,"Vladimir","Voltchkov","BLR",7,"1996-09-08"
0,0,"A","B","c",0,"1971-01-01"
1,23,"Stefan","Edberg","SWE",2964,"1996-09-15"
2,2,"Andre","Agassi","USA",2963,"1996-09-15"
3,3,"Boris","Becker","GER",2208,"1996-09-15"
4,1,"Pete","Sampras","USA",2140,"1996-09-15"
5,36,"Carlos","Moya","ESP",2075,"1996-09-15"
6,34,"Marcelo","Rios","CHI",1599,"1996-09-15"
7,7,"Yevgeny","Kafelnikow","RUS",1577,"1996-09-15"
8,8,"Mark","Philippoussis","AUS",1435,"1996-09-15"
9,12,"Richard","Krajicek","NED",1391,"1996-09-15"
10,6,"Michael","Chang","USA",1385,"1996-09-15"
11,4,"Wayne","Ferreira","RSA",1348,"1996-09-15"
12,5,"Thomas","Muster","AUT",1208,"1996-09-15"
13,29,"Cedric","Pioline","FRA",1102,"1996-09-15"
14,44,"Petr","Korda","CZE",1013,"1996-09-15"
15,56,"Nicolas","Kiefer","GER",1007,"1996-09-15"
16,28,"Guy","Forget","FRA",963,"1996-09-15"
17,19,"Todd","Martin","USA",899,"1996-09-15"
18,9,"Thomas","Enqvist","SWE",887,"1996-09-15"
19,18,"Andrei","Medvedev","UKR",836,"1996-09-15"
20,43,"Albert","Costa","ESP",816,"1996-09-15"
21,14,"Marc","Rosset","SUI",803,"1996-09-15"
22,22,"Greg","Rusedski","GBR",762,"1996-09-15"
23,11,"Jim","Courier","USA",702,"1996-09-15"
24,37,"Marat","Safin","RUS",579,"1996-09-15"
25,10,"Goran","Ivanisevic","CRO",540,"1996-09-15"
26,26,"Grant","Connell","CAN",531,"1996-09-15"
27,13,"Sergi","Bruguera","ESP",528,"1996-09-15"
28,39,"Hicham","Arazi","MAR",498,"1996-09-15"
29,27,"Byron","Black","ZIM",458,"1996-09-15"
30,33,"Javier","Frana","ARG",447,"1996-09-15"
31,17,"Arnaud","Boetsch","FRA",445,"1996-09-15"
32,16,"Michael","Stich","GER",423,"1996-09-15"
33,21,"Bartlomiej","Dabrowski","POL",371,"1996-09-15"
34,49,"Tim","Henman","GBR",259,"1996-09-15"
35,15,"Andrea","Gaudenzi","ITA",209,"1996-09-15"
36,53,"Jan","Siemerink","NED",132,"1996-09-15"
37,25,"Mark","Knowles","BAH",125,"1996-09-15"
38,46,"Oliver","Gross","GER",87,"1996-09-15"
39,31,"Kenneth","Carlsen","DEN",83,"1996-09-15"
40,55,"Richey","Reneberg","USA",81,"1996-09-15"
41,30,"Alejandro","Hernandez","MEX",76,"1996-09-15"
42,32,"Olivier","Rochus","BEL",66,"1996-09-15"
43,20,"Wojciech","Kowalski","POL",58,"1996-09-15"
43,35,"Nicolas","Periera","URG",58,"1996-09-15"
45,45,"Wolfgang","Schranz","AUT",54,"1996-09-15"
46,47,"Mariano","Zabaleta","ARG",39,"1996-09-15"
47,40,"Leander","Paes","IND",32,"1996-09-15"
47,52,"Paul","Haarhuis","NED",32,"1996-09-15"
49,48,"Sebastien","Grosjean","FRA",30,"1996-09-15"
49,54,"Christian","Ruud","NOR",30,"1996-09-15"
49,58,"Adrian","Voinea","ROM",30,"1996-09-15"
52,57,"Nicolas","Lapentti","ECU",26,"1996-09-15"
53,41,"Shuzo","Matsuoka","JPN",24,"1996-09-15"
54,50,"Vladimir","Voltchkov","BLR",7,"1996-09-15"
0,0,"A","B","c",0,"1971-01-01"
1,23,"Stefan","Edberg","SWE",2964,"1996-09-22"
2,2,"Andre","Agassi","USA",2963,"1996-09-22"
3,3,"Boris","Becker","GER",2208,"1996-09-22"
4,1,"Pete","Sampras","USA",2140,"1996-09-22"
5,36,"Carlos","Moya","ESP",2075,"1996-09-22"
6,34,"Marcelo","Rios","CHI",1599,"1996-09-22"
7,7,"Yevgeny","Kafelnikow","RUS",1577,"1996-09-22"
8,8,"Mark","Philippoussis","AUS",1435,"1996-09-22"
9,12,"Richard","Krajicek","NED",1391,"1996-09-22"
10,6,"Michael","Chang","USA",1385,"1996-09-22"
11,4,"Wayne","Ferreira","RSA",1348,"1996-09-22"
12,5,"Thomas","Muster","AUT",1208,"1996-09-22"
13,29,"Cedric","Pioline","FRA",1102,"1996-09-22"
14,44,"Petr","Korda","CZE",1013,"1996-09-22"
15,56,"Nicolas","Kiefer","GER",1007,"1996-09-22"
16,28,"Guy","Forget","FRA",963,"1996-09-22"
17,19,"Todd","Martin","USA",899,"1996-09-22"
18,9,"Thomas","Enqvist","SWE",887,"1996-09-22"
19,18,"Andrei","Medvedev","UKR",836,"1996-09-22"
20,43,"Albert","Costa","ESP",816,"1996-09-22"
21,37,"Marat","Safin","RUS",806,"1996-09-22"
22,14,"Marc","Rosset","SUI",803,"1996-09-22"
23,22,"Greg","Rusedski","GBR",762,"1996-09-22"
24,11,"Jim","Courier","USA",702,"1996-09-22"
25,10,"Goran","Ivanisevic","CRO",540,"1996-09-22"
26,26,"Grant","Connell","CAN",531,"1996-09-22"
27,13,"Sergi","Bruguera","ESP",530,"1996-09-22"
28,39,"Hicham","Arazi","MAR",528,"1996-09-22"
29,27,"Byron","Black","ZIM",458,"1996-09-22"
30,33,"Javier","Frana","ARG",447,"1996-09-22"
31,17,"Arnaud","Boetsch","FRA",445,"1996-09-22"
32,16,"Michael","Stich","GER",423,"1996-09-22"
33,21,"Bartlomiej","Dabrowski","POL",371,"1996-09-22"
34,49,"Tim","Henman","GBR",356,"1996-09-22"
35,15,"Andrea","Gaudenzi","ITA",287,"1996-09-22"
36,35,"Nicolas","Periera","URG",240,"1996-09-22"
37,53,"Jan","Siemerink","NED",132,"1996-09-22"
38,25,"Mark","Knowles","BAH",125,"1996-09-22"
39,31,"Kenneth","Carlsen","DEN",123,"1996-09-22"
40,32,"Olivier","Rochus","BEL",98,"1996-09-22"
41,46,"Oliver","Gross","GER",87,"1996-09-22"
42,55,"Richey","Reneberg","USA",81,"1996-09-22"
43,30,"Alejandro","Hernandez","MEX",76,"1996-09-22"
44,47,"Mariano","Zabaleta","ARG",69,"1996-09-22"
45,20,"Wojciech","Kowalski","POL",60,"1996-09-22"
46,45,"Wolfgang","Schranz","AUT",54,"1996-09-22"
47,40,"Leander","Paes","IND",32,"1996-09-22"
47,52,"Paul","Haarhuis","NED",32,"1996-09-22"
49,48,"Sebastien","Grosjean","FRA",30,"1996-09-22"
49,54,"Christian","Ruud","NOR",30,"1996-09-22"
49,58,"Adrian","Voinea","ROM",30,"1996-09-22"
52,57,"Nicolas","Lapentti","ECU",26,"1996-09-22"
53,41,"Shuzo","Matsuoka","JPN",24,"1996-09-22"
54,50,"Vladimir","Voltchkov","BLR",7,"1996-09-22"
55,51,"Mark","Petchey","GBR",4,"1996-09-22"
0,0,"A","B","c",0,"1971-01-01"
1,23,"Stefan","Edberg","SWE",2964,"1996-09-29"
2,2,"Andre","Agassi","USA",2963,"1996-09-29"
3,3,"Boris","Becker","GER",2208,"1996-09-29"
4,1,"Pete","Sampras","USA",2140,"1996-09-29"
5,36,"Carlos","Moya","ESP",2075,"1996-09-29"
6,34,"Marcelo","Rios","CHI",1599,"1996-09-29"
7,7,"Yevgeny","Kafelnikow","RUS",1577,"1996-09-29"
8,8,"Mark","Philippoussis","AUS",1435,"1996-09-29"
9,12,"Richard","Krajicek","NED",1391,"1996-09-29"
10,6,"Michael","Chang","USA",1385,"1996-09-29"
11,4,"Wayne","Ferreira","RSA",1348,"1996-09-29"
12,5,"Thomas","Muster","AUT",1208,"1996-09-29"
13,29,"Cedric","Pioline","FRA",1102,"1996-09-29"
14,44,"Petr","Korda","CZE",1013,"1996-09-29"
15,56,"Nicolas","Kiefer","GER",1007,"1996-09-29"
16,28,"Guy","Forget","FRA",963,"1996-09-29"
17,19,"Todd","Martin","USA",899,"1996-09-29"
18,9,"Thomas","Enqvist","SWE",887,"1996-09-29"
19,18,"Andrei","Medvedev","UKR",836,"1996-09-29"
20,43,"Albert","Costa","ESP",816,"1996-09-29"
21,37,"Marat","Safin","RUS",806,"1996-09-29"
22,14,"Marc","Rosset","SUI",803,"1996-09-29"
23,22,"Greg","Rusedski","GBR",762,"1996-09-29"
24,11,"Jim","Courier","USA",702,"1996-09-29"
25,10,"Goran","Ivanisevic","CRO",540,"1996-09-29"
26,26,"Grant","Connell","CAN",531,"1996-09-29"
27,13,"Sergi","Bruguera","ESP",530,"1996-09-29"
28,39,"Hicham","Arazi","MAR",528,"1996-09-29"
29,27,"Byron","Black","ZIM",458,"1996-09-29"
30,33,"Javier","Frana","ARG",447,"1996-09-29"
31,17,"Arnaud","Boetsch","FRA",445,"1996-09-29"
32,16,"Michael","Stich","GER",423,"1996-09-29"
33,21,"Bartlomiej","Dabrowski","POL",371,"1996-09-29"
34,49,"Tim","Henman","GBR",356,"1996-09-29"
35,15,"Andrea","Gaudenzi","ITA",287,"1996-09-29"
36,35,"Nicolas","Periera","URG",240,"1996-09-29"
37,53,"Jan","Siemerink","NED",132,"1996-09-29"
38,25,"Mark","Knowles","BAH",125,"1996-09-29"
39,31,"Kenneth","Carlsen","DEN",123,"1996-09-29"
40,32,"Olivier","Rochus","BEL",98,"1996-09-29"
41,46,"Oliver","Gross","GER",87,"1996-09-29"
42,55,"Richey","Reneberg","USA",81,"1996-09-29"
43,30,"Alejandro","Hernandez","MEX",76,"1996-09-29"
44,47,"Mariano","Zabaleta","ARG",69,"1996-09-29"
45,20,"Wojciech","Kowalski","POL",60,"1996-09-29"
46,45,"Wolfgang","Schranz","AUT",54,"1996-09-29"
47,40,"Leander","Paes","IND",32,"1996-09-29"
47,52,"Paul","Haarhuis","NED",32,"1996-09-29"
49,48,"Sebastien","Grosjean","FRA",30,"1996-09-29"
49,54,"Christian","Ruud","NOR",30,"1996-09-29"
49,58,"Adrian","Voinea","ROM",30,"1996-09-29"
52,57,"Nicolas","Lapentti","ECU",26,"1996-09-29"
53,41,"Shuzo","Matsuoka","JPN",24,"1996-09-29"
54,50,"Vladimir","Voltchkov","BLR",7,"1996-09-29"
55,51,"Mark","Petchey","GBR",4,"1996-09-29"
0,0,"A","B","c",0,"1971-01-01"
1,23,"Stefan","Edberg","SWE",2964,"1996-10-06"
2,2,"Andre","Agassi","USA",2963,"1996-10-06"
3,3,"Boris","Becker","GER",2208,"1996-10-06"
4,1,"Pete","Sampras","USA",2140,"1996-10-06"
5,36,"Carlos","Moya","ESP",2075,"1996-10-06"
6,34,"Marcelo","Rios","CHI",1599,"1996-10-06"
7,7,"Yevgeny","Kafelnikow","RUS",1577,"1996-10-06"
8,8,"Mark","Philippoussis","AUS",1435,"1996-10-06"
9,12,"Richard","Krajicek","NED",1391,"1996-10-06"
10,6,"Michael","Chang","USA",1385,"1996-10-06"
11,4,"Wayne","Ferreira","RSA",1348,"1996-10-06"
12,5,"Thomas","Muster","AUT",1208,"1996-10-06"
13,29,"Cedric","Pioline","FRA",1104,"1996-10-06"
14,44,"Petr","Korda","CZE",1013,"1996-10-06"
15,56,"Nicolas","Kiefer","GER",1007,"1996-10-06"
16,28,"Guy","Forget","FRA",963,"1996-10-06"
17,19,"Todd","Martin","USA",899,"1996-10-06"
18,9,"Thomas","Enqvist","SWE",887,"1996-10-06"
19,43,"Albert","Costa","ESP",846,"1996-10-06"
20,18,"Andrei","Medvedev","UKR",836,"1996-10-06"
21,37,"Marat","Safin","RUS",806,"1996-10-06"
22,14,"Marc","Rosset","SUI",803,"1996-10-06"
23,22,"Greg","Rusedski","GBR",762,"1996-10-06"
24,13,"Sergi","Bruguera","ESP",712,"1996-10-06"
25,11,"Jim","Courier","USA",702,"1996-10-06"
26,27,"Byron","Black","ZIM",640,"1996-10-06"
27,10,"Goran","Ivanisevic","CRO",540,"1996-10-06"
28,26,"Grant","Connell","CAN",533,"1996-10-06"
28,33,"Javier","Frana","ARG",533,"1996-10-06"
30,39,"Hicham","Arazi","MAR",530,"1996-10-06"
31,16,"Michael","Stich","GER",449,"1996-10-06"
32,17,"Arnaud","Boetsch","FRA",445,"1996-10-06"
33,49,"Tim","Henman","GBR",442,"1996-10-06"
34,21,"Bartlomiej","Dabrowski","POL",373,"1996-10-06"
35,15,"Andrea","Gaudenzi","ITA",313,"1996-10-06"
36,35,"Nicolas","Periera","URG",240,"1996-10-06"
37,59,"Patrick","Rafter","AUS",182,"1996-10-06"
38,53,"Jan","Siemerink","NED",132,"1996-10-06"
39,25,"Mark","Knowles","BAH",125,"1996-10-06"
